Id,Nome,Name,Descrição,Description,Price,Drop chance,Power,Elem
91,neve cintilante,sparkling snow,-,-,315,60,0,neutral
92,presa curva,curvy fang,-,-,320,60,0,neutral
93,gás de enxofre,sulfer gas,-,fede,325,60,0,neutral
94,fumaça colorida,colorful smoke,-,-,330,60,0,neutral
95,orbe mágico,magic orb,-,-,335,60,0,neutral
96,fósforos,matches,-,-,340,60,0,neutral
97,ignidor,igniter,-,-,345,60,0,neutral
98,asas celestiais,celestial wings,-,-,350,60,0,neutral
99,vareta encantada,enchanted stick,aumenta chance de refino de escudos e armaduras (usada automagicamente),increases the chance of forging shields and armors (consumed automagically),355,60,0,neutral
100,manifesto eclíptico,ecliptic manifest,aumenta chance de refino de escudos e armaduras especiais (usado automagicamente),increases the chance of forging special shields and armors (consumed automagically),360,60,0,neutral
101,manhã pacífica,peaceful morning,-,-,365,60,0,neutral
102,estilingue,slingshot,-,-,370,60,0,neutral
103,língua grudenta,sticky tongue,-,-,375,60,0,neutral
104,olhos de águia,eagle's eyes,são os olhos dela...não os seus (não aumenta dex),its eyes...not yours (does not increase dex),380,60,0,neutral
105,copo de cerveja,beer cup,deixa bêbado,causes drunk,385,60,0,neutral
106,galão de cerveja,beer gallon,deixa muito bêbado,causes a whola lotta drunk,390,60,0,neutral
107,pintura festiva,festive ink,-,-,395,60,0,neutral
108,orelhas de elfo,elven ears,essas orelhas te deixam élficu,lendárias e super raras,400,60,0,neutral
109,teia de tarântula,tarantula web,reduces agi,diminui agi,405,60,0,neutral
110,pílulas suspeitas,suspicious pills,você não tomaria pílulas tão suspeitas,you wouldn't take such suspicious pills,410,60,0,neutral
111,voz gravada,recorded voice,para o silêncio,stops silence,415,60,0,neutral
112,remédio,medicine,-,-,420,60,0,neutral
113,lama suja,dirty mud,e tem lama limpa?,is there clean mud?,425,60,0,neutral
114,pano molhado,wet cloth,causa ataque de água,causes water attack,430,60,30,water
115,pano em chamas,burning cloth,causa ataque de fogo,causes fire attack,435,60,30,fire
116,semente de crescimento rápido,fast growth seed,causa ataque de planta,causes plant attack,440,60,30,plant
117,bola de argila,ball of clay,causa ataque de terra,causes earth attack,445,60,30,earth
118,ar vibrante,vibrant air,causa ataque de ar,causes air attack,450,60,30,air
119,pano atritado,rubbed rug,causa ataque de trovão,causes thunder attack,455,60,30,thunder
120,vidro luminoso,luminous glass,causa ataque de luz,causes light attack,460,60,30,light
121,capa sombria,somber robe,causa ataque de escuridão,causes dark attack,465,60,30,dark
122,bola de neve,snowball,causa ataque de neve,causes snow attack,470,60,30,snow
123,arma d'água,water gun,causa ataque de água,causes water attack,475,60,40,water
124,panela fervente,burning pan,causa ataque de fogo,causes fire attack,480,60,40,fire
125,folha afiada,sharp leaf,causa ataque de planta,causes plant attack,485,60,40,plant
126,rochedo,boulder,causa ataque de terra,causes earth attack,490,60,40,earth
127,ar pressurizado,pressurized air,causa ataque de ar,causes air attack,495,60,40,air
128,fio elétrico,electric wire,causa ataque de trovão,causes thunder attack,500,60,40,thunder
129,lanterna,flashlight,causa ataque de luz,causes light attack,505,60,40,light
130,venda,blindfold,causa ataque de escuridão,causes dark attack,510,60,40,dark
131,punhado de neve,snowchunck,causa ataque de neve,causes snow attack,515,60,40,snow
132,canhão de água,water cannon,causa ataque de água,causes water attack,520,60,50,water
133,incinerador,incinerator,causa ataque de fogo,causes fire attack,525,60,50,fire
134,pé de feijão,beanstalk,causa ataque de planta,causes plant attack,530,60,50,plant
135,montanha,mountain,causa ataque de terra,causes earth attack,535,60,50,earth
136,espinho faiscante,sparky spike,causa ataque de ar,causes air attack,540,60,50,air
137,nuvem carregada,charged cloud,causa ataque de trovão,causes thunder attack,545,60,50,thunder
138,holofote,spotlight,causa ataque de luz,causes light attack,550,60,50,light
139,tábua molhada,wet plank,causa ataque de escuridão,causes dark attack,555,60,50,dark
140,avalanche,avalanche,causa ataque de neve,causes snow attack,560,60,50,snow
141,seixo cósmico,cosmic pebble,-,-,565,60,0,neutral
142,estrela cadente,falling star,-,-,570,60,0,neutral
143,raiz subterrânea,underground root,-,-,575,60,0,neutral
144,fragmento de pulsar,pulsar fragment,-,-,580,60,0,neutral
145,cérebro ativo,active brain,-,-,585,60,0,neutral
146,coração latejante,pulsant heart,-,-,590,60,0,neutral
147,rabo verdejante,verdant tail,-,-,595,60,0,neutral
148,nove caudas,nine tails,-,-,600,60,0,neutral
149,desenho animalesco,animalistic drawing,-,-,605,60,0,neutral
150,bastão acrômico,acromic bat,-,-,610,60,0,neutral
151,vírus indomado,untamed virus,-,-,615,60,0,neutral
152,gel cromático,cromatic gel,-,-,620,60,0,neutral
153,desenho de giz de cera,crayon drawing,-,-,625,60,0,neutral
154,solo fértil,fertile soil,-,-,630,60,0,neutral
155,solo úmido,humid soil,-,-,635,60,0,neutral
156,raiz úmida,moisty root,-,-,640,60,0,neutral
157,semente frutífera,frutiferous seed,-,-,645,60,0,neutral
158,criaturinha saltitante,bouncy little creature,-,-,650,60,0,neutral
159,corda ascendente,ascending rope,-,-,655,60,0,neutral
160,tiara florida,flowey tiara,-,-,660,60,0,neutral
161,anel rochoso,rocky ring,-,-,665,60,0,neutral
162,xilema rugoso,rugged xylem,-,-,670,60,0,neutral
163,pele áspera,scratchy skin,-,-,675,60,0,neutral
164,pedaço de nuvem,piece of cloud,-,-,680,60,0,neutral
165,corda vibrante,vibrant string,-,-,685,60,0,neutral
166,rocha ressonante,ressonant rock,-,-,690,60,0,neutral
167,estalactite,stalactite,-,-,695,60,0,neutral
168,estalagmite,stalagmite,-,-,700,60,0,neutral
169,gancho trepador,climbing hook,-,-,705,60,0,neutral
170,astrolábio primitivo,primitive astrolabe,-,-,710,60,0,neutral
171,relíquia descoberta,discovered relic,-,-,715,60,0,neutral
172,poeira estelar,stardust,-,-,720,60,0,neutral
173,osso quebrado,broken bone,-,-,725,60,0,neutral
174,limo escorregadio,slippery lime,-,-,730,60,0,neutral
175,mineral brilhante,shiny mineral,-,-,735,60,0,neutral
176,água cristalina,crystaline water,-,-,740,60,0,neutral
177,mochila de expedição,expedition bag,-,-,745,60,0,neutral
178,gosma bioluminescente,bioluminescent jelly,-,-,750,60,0,neutral
179,formação cristalina,crystallic formation,-,-,755,60,0,neutral
180,paredes úmidas,moist walls,-,-,760,60,0,neutral
181,tecido mole,soft tissue,-,-,765,60,0,neutral
182,olhos não-usados,unused eyes,-,-,770,60,0,neutral
183,larva subcutânea,subcutaneous verm,-,-,775,60,0,neutral
184,braço obnóxio,obnoxious arm,-,-,780,60,0,neutral
185,boca articulada,articulate mouth,-,-,785,60,0,neutral
186,falésia íngreme,steep cliff,-,-,790,60,0,neutral
187,desenho arqueológico,arqueological drawing,-,-,795,60,0,neutral
188,fluido superdosado,overdosed fluid,-,-,800,60,0,neutral
189,catarro grudento,sticky mucus,-,-,805,60,0,neutral
190,asas cintilantes,sparkling wings,-,-,810,60,0,neutral
191,rocha subterrânea,underground rock,-,-,815,60,0,neutral
192,formação subsólida,subsolid formation,-,-,820,60,0,neutral
193,pó brilhante,brilliant dust,-,-,825,60,0,neutral
194,olhos brilhantes divinos,divine shiny eyes,-,-,830,60,0,neutral
195,cabelo crocante,crispy hair,-,-,835,60,0,neutral
196,bloco capilar,capilar block,-,-,840,60,0,neutral
197,pés rebitados,clinchy toes,-,-,845,60,0,neutral
198,pata urrante,howling paw,-,-,850,60,0,neutral
199,lei metralhante,strafing law,-,-,855,60,0,neutral
200,bactéria corona,corona bacteria,-,-,860,60,0,neutral
201,hélice rotacional,rotational helix,-,-,865,60,0,neutral
202,núcleo vórtico,vortexy nuclei,-,-,870,60,0,neutral
203,relíquia escavada,dug relic,-,-,875,60,0,neutral
204,musgo exótico,exotic moss,-,-,880,60,0,neutral
205,substrato do solo,ground substrate,-,-,885,60,0,neutral
206,substância biológica,biologic substance,-,-,890,60,0,neutral
207,cheio putrefado,putrefied smell,-,-,895,60,0,neutral
208,flor única,unique flower,-,-,900,60,0,neutral
209,parte do corpo retorcida,twisted body part,-,-,905,60,0,neutral
210,lanterna de escavação,excavation flashlight,-,-,910,60,0,neutral
211,vela parafinada morna,warm waxed candle,-,-,915,60,0,neutral
212,vela derretida,melted candle,-,-,920,60,0,neutral
213,organismo intrínseco,intrinsic organism,-,-,925,60,0,neutral
214,mensagem criptografada,encrypted message,-,-,930,60,0,neutral
215,olho petrificado,petrified eye,-,-,935,60,0,neutral
216,turbante carismático,carismatic turbant,-,-,940,60,0,neutral
217,padrão intrincado,intricate pattern,-,-,945,60,0,neutral
218,chapéu medieval,medieval hat,-,-,950,60,0,neutral
219,ancião poligâmico,polygamous elder,-,-,955,60,0,neutral
220,ferramenta torta,crooked tool,-,-,960,60,0,neutral
221,caixa secreta,secret box,-,-,965,60,0,neutral
222,abraço forte,tight hug,-,-,970,60,0,neutral
223,rocha sedimentada,sedimented rock,-,-,975,60,0,neutral
224,solo em camadas,layered soil,-,-,980,60,0,neutral
225,orbe ornamentado,ornate orb,-,-,985,60,0,neutral
226,pata de carangueijo,crab leg,-,-,990,60,0,neutral
227,shuriken,shuriken,-,-,995,60,0,neutral
228,casca de côco,coconut shell,-,-,1000,60,0,neutral
229,joelheira,knee pad,-,-,1005,60,0,neutral
230,areia grossa,granular sand,-,-,1010,60,0,neutral
231,bico pontiagudo,pointy beak,-,-,1015,60,0,neutral
232,folha de palha,palm leaf,-,-,1020,60,0,neutral
233,casca de palma,palm shell,-,-,1025,60,0,neutral
234,saia nativa,native skirt,-,-,1030,60,0,neutral
235,colar florido,flowery collar,-,-,1035,60,0,neutral
236,prancha pintada,painted surfboard,-,-,1040,60,0,neutral
237,tábua parafinada,waxed board,-,-,1045,60,0,neutral
238,bandeira fanática,fanatic flag,-,-,1050,60,0,neutral
239,pombo orgástico,orgastic dove,-,-,1055,60,0,neutral
240,tímpano ritualístico,ritualistic timpano,-,-,1060,60,0,neutral
241,disco aerodinâmico,aerodynamic disk,-,-,1065,60,0,neutral
242,concha ondulada,wavy shell,-,-,1070,60,0,neutral
243,toalha salina,saline towel,-,-,1075,60,0,neutral
244,flutuante com sardas,freckled floater,-,-,1080,60,0,neutral
245,balde d'água,water bucket,-,-,1085,60,0,neutral
246,fantasia contemporânea,contemporaneous costume,-,-,1090,60,0,neutral
247,filhote veloz,swift pup,-,-,1095,60,0,neutral
248,argila moldada,molded clay,-,-,1100,60,0,neutral
249,castelo de areia,sand castle,-,-,1105,60,0,neutral
250,caravela inchada,swollen jellyfish,-,-,1110,60,0,neutral
251,música praieira,beachy music,-,-,1115,60,0,neutral
252,peteca aerada,airy shuttlecock,-,-,1120,60,0,neutral
253,leque,fan,-,-,1125,60,0,neutral
254,água salgada,salt water,-,-,1130,60,0,neutral
255,boné,sun hat,-,-,1135,60,0,neutral
256,tentáculo grudento,sticky tentacle,-,-,1140,60,0,neutral
257,cauda elétrica,electric tail,-,-,1145,60,0,neutral
258,asa marinha,marine wing,-,-,1150,60,0,neutral
259,arcada óssea adaptada,adapted bone arch,-,-,1155,60,0,neutral
260,antena exótica,exotic feeler,-,-,1160,60,0,neutral
261,boca assustadora,creepy mouth,-,-,1165,60,0,neutral
262,forma sem formato,shapeless form,-,-,1170,60,0,neutral
263,vórtex sinérgico,synergic vortex,-,-,1175,60,0,neutral
264,líquido florescente,fluorescent liquid,-,-,1180,60,0,neutral
265,mente psicológica,psychological mind,-,-,1185,60,0,neutral
266,alma emocionada,emotive soul,-,-,1190,60,0,neutral
267,dente incisivo,incisive tooth,-,-,1195,60,0,neutral
268,pele escamada,scaling skin,-,-,1200,60,0,neutral
269,coração vigoroso,vigorous heart,-,-,1205,60,0,neutral
270,movimento avantajado,topping move,-,-,1210,60,0,neutral
271,pele táctil,tactile skin,-,-,1215,60,0,neutral
272,dentes duros,hard teeth,-,-,1220,60,0,neutral
273,véu luminoso,luminous veil,-,-,1225,60,0,neutral
274,som inumano,inhumane sound,-,-,1230,60,0,neutral
275,fluido interno,internal fluid,-,-,1235,60,0,neutral
276,pérola refinada,refined pearl,-,-,1240,60,0,neutral
277,rolo superredondo,overround roll,-,-,1245,60,0,neutral
278,seixo escarlate,scarlet pebble,-,-,1250,60,0,neutral
279,energia estática,static energy,-,-,1255,60,0,neutral
280,anel da êxtase,ecstatic ring,-,-,1260,60,0,neutral
281,óculos inoculares,inocular glasses,-,-,1265,60,0,neutral
282,forma reluzente,relucent shape,-,-,1270,60,0,neutral
283,algemas apertadas,tight handcuffs,-,-,1275,60,0,neutral
284,piercing gradiente,gradient piercing,-,-,1280,60,0,neutral
285,octaedro barbudo,bearded octahedron,-,-,1285,60,0,neutral
286,unhas esmaltadas,enamelled nails,-,-,1290,60,0,neutral
287,eletroldo,electrode,-,-,1295,60,0,neutral
288,banha,lard,-,-,1300,60,0,neutral
289,lentes magnéticas,magnetic lens,-,-,1305,60,0,neutral
290,queratina tingida,dyed queratin,-,-,1310,60,0,neutral
291,relaxante muscular,muscle relaxant,-,-,1315,60,0,neutral
292,ovo brilhante,shiny egg,-,-,1320,60,0,neutral
293,magma,magma,-,-,1325,60,0,neutral
294,máscara de raposa,kitsune mask,-,-,1330,60,0,neutral
295,rocha ígnea,igneous rock,-,-,1335,60,0,neutral
296,fogo incandescente,incandescent fire,-,-,1340,60,0,neutral
297,pele de cobra,snake skin,-,-,1345,60,0,neutral
298,criatura fantástica,fantastic beast,-,-,1350,60,0,neutral
299,platina,platinum,-,-,1355,60,0,neutral
300,foice ameaçadora,treacherous scythe,-,-,1360,60,0,neutral
301,núcleo,core,-,-,1365,60,0,neutral
302,tela digital,digital screen,-,-,1370,60,0,neutral
303,nave romântica,romantic ship,-,-,1375,60,0,neutral
304,motor improbabilístico,improbabilistic motor,-,-,1380,60,0,neutral
305,fone de ouvido superfaturado,overpriced headphone,-,-,1385,60,0,neutral
306,guarda-chuva arco-íris,rainbow umbrella,-,-,1390,60,0,neutral
307,morcego sapeca,naughty bat,-,-,1395,60,0,neutral
308,forma de vida inteligente,intelligent lifeform,-,-,1400,60,0,neutral
309,veia latejante,pulsant vein,-,-,1405,60,0,neutral
310,membro pulsante,throbbing member,-,-,1410,60,0,neutral
311,espiral flexível,flexible spiral,-,-,1415,60,0,neutral
312,canhão carregado,loaded cannon,-,-,1420,60,0,neutral
313,saudação alienígena,alien greeting,-,-,1425,60,0,neutral
314,conto do submundo,tale of the underworld,-,-,1430,60,0,neutral
315,olho hipnótico,hipnotic eye,-,-,1435,60,0,neutral
316,esqueleto arcaico,archaic skeleton,-,-,1440,60,0,neutral
317,asas tortuosas,tortuous wings,-,-,1445,60,0,neutral
318,colar entusiástico,enthusiastic collar,-,-,1450,60,0,neutral
319,pluma galática,galactic plum,-,-,1455,60,0,neutral
320,canto sábio,wise corner,-,-,1460,60,0,neutral
321,encanto lunático,lunatic spell,-,-,1465,60,0,neutral
322,bastão encantado,wicked bat,-,-,1470,60,0,neutral
323,totem ignitivo,ignitive totem,-,-,1475,60,0,neutral
324,trilhão de bolinhas,trillion tiny balls,-,-,1480,60,0,neutral
325,metal improvável,improbable metal,-,-,1485,60,0,neutral
326,flauta da ventania,windy flute,-,-,1490,60,0,neutral
327,buraco dimensional,dimensional hole,-,-,1495,60,0,neutral
328,disco artístico,artistic disk,-,-,1500,60,0,neutral
329,sorriso furtivo,stealthy smile,-,-,1505,60,0,neutral
330,papel celestial,celestial paper,-,-,1510,60,0,neutral
331,gás pressurizado,pressurized gas,-,-,1515,60,0,neutral
332,melodia harmônica,harmonic melody,-,-,1520,60,0,neutral
333,tempero apimentado,spicy seasoning,-,-,1525,60,0,neutral
334,cauda dracônica,draconic tail,-,-,1530,60,0,neutral
335,engrenagem poderosa,power gear,-,-,1535,60,0,neutral
336,língua empoeirada,dusty tongue,-,-,1540,60,0,neutral
337,pergaminho enterrado,burried scroll,-,-,1545,60,0,neutral
338,vaso restaurado,restored vase,-,-,1550,60,0,neutral
339,corpo negro,blackbody,-,-,1555,60,0,neutral
340,gota de chuva com sol,sunny raindrop,-,-,1560,60,0,neutral
341,corpo de inseto,insect body,-,-,1565,60,0,neutral
342,véu transparente,transparent veil,-,-,1570,60,0,neutral
343,energia vulcânica,volcanic energy,-,-,1575,60,0,neutral
344,robô rabugento,grumpy robot,-,-,1580,60,0,neutral
345,orbe imaterial,immaterial orb,-,-,1585,60,0,neutral
346,vidro translúcido,translucid glass,-,-,1590,60,0,neutral
347,rede de captura,capture net,-,-,1595,60,0,neutral
348,tecido bom de arranhar,scratchy cloth,-,-,1600,60,0,neutral
349,testa em chamas,burning forehead,-,-,1605,60,0,neutral
350,tendão tensionado,tensioned tendon,-,-,1610,60,0,neutral
351,adesivo de nuvem,cloud adhesive,-,-,1615,60,0,neutral
352,nervo sensível,sensitive nerve,-,-,1620,60,0,neutral
353,giroscópio,gyroscope,-,-,1625,60,0,neutral
354,inquietação giratória,spinning fidget,-,-,1630,60,0,neutral
355,canino doentio,ill canine,-,-,1635,60,0,neutral
356,músculo quente,hot muscle,-,-,1640,60,0,neutral
357,bola de cristal,crystal ball,-,-,1645,60,0,neutral
358,olho de sapo,froggy eye,-,-,1650,60,0,neutral
359,lâmina moldada,moulded blade,-,-,1655,60,0,neutral
360,mão esperançosa,hopeful hand,-,-,1660,60,0,neutral
361,caneta entortada,twisted pen,-,-,1665,60,0,neutral
362,espada nebulosa,misty sword,-,-,1670,60,0,neutral
363,marionete nublada,cloudy puppet,-,-,1675,60,0,neutral
364,bumbum dançante,jiggly butt,-,-,1680,60,0,neutral
365,cauda peluda,furry tail,-,-,1685,60,0,neutral
366,hélice aerada,airy helix,-,-,1690,60,0,neutral
367,bracelete espiral,spiral bracelet,-,-,1695,60,0,neutral
368,flor em fractal,fractal flower,-,-,1700,60,0,neutral
369,floco de neve,snowflake,-,-,1705,60,0,neutral
370,cubo de gelo,ice cube,-,-,1710,60,0,neutral
371,biscoitos congelados,frozen cookies,-,-,1715,60,0,neutral
372,pêlo branco,white fur,-,-,1720,60,0,neutral
373,lança glacial,glacial spear,-,-,1725,60,0,neutral
374,berrante de tyrande,tyrande's horn,-,-,1730,60,0,neutral
375,biscoitos assados,baked cookies,-,-,1735,60,0,neutral
376,cachecol aconchegante,cozy scarf,-,-,1740,60,0,neutral
377,grande aquecedor de rosto,large facewarmer,-,-,1745,60,0,neutral
378,chapéu viking,viking hat,-,-,1750,60,0,neutral
379,janela da queda da noite,nightfall window,-,-,1755,60,0,neutral
380,companhia celestial,celestial companion,-,-,1760,60,0,neutral
381,luvas brancas de neve,snowwhite gloves,-,-,1765,60,0,neutral
382,noite estrelada,starry night,-,-,1770,60,0,neutral
383,casaco de isolamento térmico,thermal isolating coat,-,-,1775,60,0,neutral
384,grande pé,big foot,-,-,1780,60,0,neutral
385,bandeira de exploração,exploration flag,-,-,1785,60,0,neutral
386,visão da luz da noite,nightlight vision,-,-,1790,60,0,neutral
387,cabeça do homem das neves,snowman head,-,-,1795,60,0,neutral
388,pele congelada,frosted skin,-,-,1800,60,0,neutral
389,marca da aventura,mark of the adventure,-,-,1805,60,0,neutral
390,esfera neutra,neutral sphere,-,-,0,60,0,neutral
391,esfera de água,sphere of water,-,-,0,60,0,neutral
392,esfera de fogo,sphere of fire,-,-,0,60,0,neutral
393,esfera de planta,sphere of plant,-,-,0,60,0,neutral
394,esfera de terra,sphere of earth,-,-,0,60,0,neutral
395,esfera de ar,sphere of air,-,-,0,60,0,neutral
396,esfera de trovão,sphere of thunder,-,-,0,60,0,neutral
397,esfera de luz,sphere of light,-,-,0,60,0,neutral
398,esfera negra,sphere of dark,-,-,0,60,0,neutral
399,esfera de neve,sphere of snow,-,-,0,60,0,neutral
