ID,Nome,Name,Descrição,Description,Price,Drop chance
50,bronze moldável,moldable copper,-,-,255,20
51,tubo manipulativo,manipulative tube,-,-,260,20
52,bloco batível,hittable block,-,-,265,20
53,adorno espinhoso,spiky adornment,-,-,270,20
54,faíscas metálicas,metallic sparkles,-,-,275,20
55,amuleto de confiança,amulet of trust,-,-,280,20
56,laço de amizade,friendship link,-,-,285,20
57,ligação criativa,creative bond,-,-,290,20
58,conexão inquebrável,unbreakable connection,-,-,295,20
59,piada interna,internal joke,-,-,300,20
60,vontade ascendente,ascending will,-,-,305,20
61,equipamento de escalada,climbing equipment,-,-,310,20
62,massa volumosa,bulky mass,-,-,315,20
63,robustez,robustness,-,-,320,20
64,constituição muscular,muscular constitution,-,-,325,20
65,fluido químico,chemical fluid,-,-,330,20
66,bolhas mágicas,magical bubbles,-,-,335,20
67,redemoinho hipnótico,hipnotic whirl,-,-,340,20
68,sangue vívido,vivid blood,-,-,345,20
69,energia arcana,arcane energy,-,-,350,20
70,lâmina da nuvem,cloud blade,-,-,355,20
71,capa das sombras,shadowy cap,-,-,360,20
72,ornamento pervasivo,pervasive ornament,-,-,365,20
73,calçados velozes,swift shoes,-,-,370,20
74,braçadeira cortante,slicing armlet,-,-,375,20
75,emblema da função,duty badge,-,-,380,20
76,orgulho da profissão,job proud,-,-,385,20
77,amuleto da maestria,mastery amulet,-,-,390,20
78,estaca calística,calistic stake,-,-,395,20
79,emblema oficial,official emblem,-,-,400,20
80,madeira flexível,flexible wood,-,-,405,20
81,linha,line,-,-,410,20
82,gancho,hook,-,-,415,20
83,peixe pego à mão,handcatched fish,-,-,420,20
84,pés nadantes,swimming feet,-,-,425,20
85,onda sonora,soundwave,-,-,430,20
86,timbre volante,volant timbre,-,-,435,20
87,veia vibrante,vibrating vein,-,-,440,20
88,metal ressonante,ressonant metal,-,-,445,20
89,espírito rock 'n roll,rock 'n roll spirit,-,-,450,20
90,rocha encantada,enchanted rock,-,-,455,20
91,neon brilhante,shiny neon,-,-,460,20
92,esfera orbital,orbital sphere,-,-,465,20
93,material precioso,precious material,-,-,470,20
94,rocha forjadora,forging rock,-,-,475,20
95,cinto hediondo,himonous belt,-,-,480,20
96,mão vampírica,vampiric hand,-,-,485,20
97,ótica molecular,molecular optics,-,-,490,20
98,cabelo estringente,stringent hair,-,-,495,20
99,turbina voltaica,voltaic turbine,-,-,500,20
100,face espiritual,spiritual face,-,-,505,20
101,pata felina,feline paw,-,-,510,20
102,leve brisa,breezy air,-,-,515,20
103,folha pálida,pale sheet,-,-,520,20
104,celúla úmida,humid cell,-,-,525,20
105,curva fulvosa,fulvous curve,-,-,530,20
106,chifre demoníaco,demoniac horn,-,-,535,20
107,telha cancerígena,cancerigeous tile,-,-,540,20
108,peça de borracha,rubber piece,-,-,545,20
109,sorriso pacífico,peaceful smile,-,-,550,20
110,cone perfurante,piercing cone,-,-,555,20
111,mineral endurecido,hardened mineral,-,-,560,20
112,gesso cristalizado,crystalized gypsum,-,-,565,20
113,gel colante,gluey gel,-,-,570,20
114,base de armadura,armored base,-,-,575,20
115,tatuagem de nativo,native tatoo,-,-,580,20
116,saia de flores,skirt of leaves,-,-,585,20
117,máscara tribal,tribal mask,-,-,590,20
118,ferramentas indígena,indigenous tools,-,-,595,20
119,arma do sobrevivente,survival weapon,-,-,600,20
120,movimento violento,violent move,-,-,605,20
121,pétala rara,rare petal,-,-,610,20
122,essência fragante,fragant scent,-,-,615,20
123,cauda melada,luscious tail,-,-,620,20
124,cérebro delicioso,delicious brain,-,-,625,20
125,sombra das ruínas,shadow of the ruins,-,-,630,20
126,queijo do rato,mouse cheese,-,-,635,20
127,lâmpada conveniente,conveninent lamp,-,-,640,20
128,cachorro de neve perfeito,perfect snowdog,-,-,645,20
129,lixo sem valor,worthless garbage,-,-,650,20
130,raio radioativo,radioactive ray,-,-,655,20
131,núcleos carregados,charged nuclei,-,-,660,20
132,neutron fundido,fused neutron,-,-,665,20
133,força eletromagnética,electromagnetic strength,-,-,670,20
134,vibração quântica,quantic vibration,-,-,675,20
135,aroma atrativo,atractive aroma,-,-,680,20
136,dente de roedor,rodent teeth,-,-,685,20
137,líquido nuclear,nuclear liquid,-,-,690,20
138,rocha derretida,molten rock,-,-,695,20
139,corda musical,musical string,-,-,700,20
140,canivete velho,old jackknife,-,-,705,20
141,arame duro,hard wire,-,-,710,20
142,peça longa de madeira,long piece of wood,-,-,715,20
143,lençol quentinho,warm blanket,-,-,720,20
144,nariz de palhaço,clown nose,-,-,725,20
145,guerreira dos lobos,warrior of the wolves,-,-,730,20
146,semente boreal,boreal seed,-,-,735,20
147,pintura natural,natural paint,-,-,740,20
148,animal polar,polar animal,-,-,745,20
149,intuição desconhecida,unknown intuition,-,-,750,20
150,semblante motivado,motivated semblant,-,-,755,20
151,bravura constante,constant bravery,-,-,760,20
152,chama incisiva,incisive flame,-,-,765,20
153,lança apocalíptica,apocaliptic spear,-,-,770,20
154,olho do outro mundo,otherworld eye,-,-,775,20
155,fantoche lúdico,ludic puppet,-,-,780,20
156,máscara de javali,boar mask,-,-,785,20
157,chapéu férvido,fervid hat,-,-,790,20
158,encanto intemporal,timeless enchantment,-,-,795,20
159,fragância charmosa,charming fragance,-,-,800,20
160,vacina letal,letal vaccine,-,-,805,20
161,sonho iluminado,enlighted dream,-,-,810,20
162,evento abençoado,blessed event,-,-,815,20
163,salto de fé,leap of faith,-,-,820,20
164,pergaminho largo,large scroll,-,-,825,20
165,tinta de escrever,writing ink,-,-,830,20
166,asas de gárgula,gargolian wings,-,-,835,20
167,olhar vampírico,vampiric look,-,-,840,20
168,pena jurássica,jurassic feather,-,-,845,20
169,ursinho de pelúcia,teddy bear,-,-,850,20
170,ritmo contagiante,contagious rhythm,-,-,855,20
171,adams icônico,iconic adams,-,-,860,20
172,marcador de livro desenhado,designed bookmark,-,-,865,20
173,criação artística,artistic creation,-,-,870,20
174,mão autônoma,autonomous hand,-,-,875,20
175,exilir da vida,elixir of life,-,-,880,20
176,esfera de zigoto,sphere of zygot,-,-,885,20
177,ser-vivo interativo,interactive living being,-,-,890,20
178,lampião antigo,ancient gas lamp,-,-,895,20
179,papiro conservado,preserved papyrus,-,-,900,20
180,nota pensativa,thoughtful note,-,-,905,20
181,escritor calmo,calm writer,-,-,910,20
182,bebida elétrica,electric beverage,-,-,915,20
183,rabiscos recuperados,recovered scratches,-,-,920,20
184,areia fina,fine sand,-,-,925,20
185,cola tranquila,chill glue,-,-,930,20
186,cabo exposto,exposed cable,-,-,935,20
187,dedos alternativos,alternative fingers,-,-,940,20
188,registros plastificados,plasticized records,-,-,945,20
189,palheta vibrante,vibrant pick,-,-,950,20
190,dinossauro medieval,medieval dinosaur,-,-,955,20
191,software bugado,glitchy software,-,-,960,20
192,suco doce,sweet juice,-,-,965,20
193,pó de carbono,carbon powder,-,-,970,20
194,folha sideral,spacial sheet,-,-,975,20
195,mimo apetitoso,appetizing treat,-,-,980,20
196,sela aconchegante,cozy saddle,-,-,985,20
197,aura do dragão,dragon's aura,-,-,990,20
198,postura relaxada,relaxed posture,-,-,995,20
199,mapa congelado,frozen map,-,-,1000,20
